team,g,mp,fg_pct,avg_dist,pct_fga_fg2a,pct_fga_00_03,pct_fga_03_10,pct_fga_10_16,pct_fga_16_xx,pct_fga_fg3a,fg_pct_fg2a,fg_pct_00_03,fg_pct_03_10,fg_pct_10_16,fg_pct_16_xx,fg_pct_fg3a,pct_ast_fg2,pct_ast_fg3,pct_fga_dunk,fg_dunk,pct_fga_layup,fg_layup,pct_fg3a_corner,fg3_pct_corner,fg3a_heave,fg3_heave
Atlanta Hawks,72,17405,.468,13.9,,.618,.260,.178,.119,.061,.382,,.526,.656,.415,.454,.443,.373,,.504,.791,,.065,368,,.252
Boston Celtics,72,17380,.466,14.7,,.591,.218,.208,.094,.071,.409,,.530,.693,.453,.412,.414,.374,,.478,.746,,.054,307,,.263
Brooklyn Nets,72,17405,.494,14.1,,.587,.271,.164,.097,.055,.413,,.565,.693,.443,.480,.450,.392,,.536,.795,,.062,357,,.261
Chicago Bulls,72,17380,.476,13.8,,.617,.275,.178,.085,.079,.383,,.542,.672,.447,.428,.425,.370,,.549,.838,,.048,281,,.282
Charlotte Hornets,72,17355,.455,14.2,,.578,.283,.166,.071,.059,.422,,.517,.637,.400,.418,.387,.369,,.589,.831,,.063,355,,.281
Cleveland Cavaliers,72,17430,.450,12.6,,.653,.310,.211,.085,.047,.347,,.510,.626,.419,.400,.354,.336,,.540,.840,,.061,341,,.289
Dallas Mavericks,72,17305,.470,15.3,,.564,.230,.152,.111,.071,.436,,.554,.715,.429,.475,.426,.362,,.445,.778,,.055,291,,.215
Denver Nuggets,72,17480,.485,14.1,,.617,.226,.215,.095,.081,.383,,.552,.730,.460,.444,.425,.377,,.523,.851,,.051,295,,.268
Detroit Pistons,72,17430,.452,13.5,,.615,.273,.210,.073,.060,.385,,.515,.660,.416,.359,.386,.351,,.509,.901,,.057,312,,.303
Golden State Warriors,72,17305,.468,15.3,,.561,.229,.181,.072,.079,.439,,.541,.709,.449,.402,.391,.376,,.595,.806,,.064,370,,.267
Houston Rockets,72,17305,.444,14.7,,.541,.284,.158,.043,.056,.459,,.532,.683,.385,.354,.317,.339,,.486,.814,,.056,314,,.309
Indiana Pacers,72,17455,.474,13.2,,.628,.316,.176,.081,.054,.372,,.540,.655,.414,.445,.417,.364,,.535,.880,,.033,198,,.341
Los Angeles Clippers,72,17280,.482,14.8,,.600,.219,.164,.121,.095,.400,,.529,.688,.432,.446,.439,.411,,.454,.834,,.060,326,,.210
Los Angeles Lakers,72,17455,.472,13.5,,.637,.288,.167,.105,.077,.363,,.539,.701,.434,.403,.350,.354,,.506,.877,,.065,344,,.282
Memphis Grizzlies,72,17405,.467,13.0,,.658,.251,.221,.141,.046,.342,,.525,.661,.443,.453,.393,.356,,.543,.872,,.051,297,,.261
Miami Heat,72,17380,.468,14.8,,.568,.247,.161,.096,.064,.432,,.553,.719,.437,.427,.391,.358,,.562,.893,,.057,309,,.255
Milwaukee Bucks,72,17330,.487,14.6,,.596,.255,.155,.104,.082,.404,,.554,.717,.419,.457,.426,.389,,.468,.782,,.059,348,,.260
Minnesota Timberwolves,72,17405,.448,13.7,,.587,.299,.172,.061,.054,.413,,.518,.650,.391,.363,.362,.349,,.532,.835,,.059,329,,.311
New Orleans Pelicans,72,17430,.477,12.6,,.658,.336,.165,.087,.071,.342,,.544,.660,.413,.414,.457,.348,,.526,.871,,.060,348,,.345
New York Knicks,72,17430,.456,13.5,,.653,.254,.190,.118,.091,.347,,.490,.637,.385,.407,.411,.392,,.416,.842,,.054,300,,.262
Oklahoma City Thunder,72,17355,.441,13.7,,.601,.278,.200,.074,.050,.399,,.509,.635,.401,.410,.381,.339,,.455,.824,,.048,275,,.314
Orlando Magic,72,17330,.429,14.4,,.644,.201,.212,.121,.109,.356,,.476,.652,.386,.424,.388,.343,,.469,.827,,.036,197,,.258
Philadelphia 76ers,72,17430,.476,13.7,,.653,.241,.203,.117,.092,.347,,.531,.672,.436,.479,.438,.374,,.452,.894,,.056,321,,.244
Phoenix Suns,72,17480,.490,14.9,,.608,.211,.158,.148,.091,.392,,.563,.718,.470,.509,.454,.378,,.524,.849,,.039,232,,.215
Portland Trail Blazers,72,17305,.453,15.6,,.552,.244,.133,.085,.089,.448,,.509,.637,.378,.439,.422,.385,,.405,.693,,.033,183,,.254
Sacramento Kings,72,17305,.481,13.6,,.624,.249,.213,.106,.056,.376,,.551,.717,.432,.479,.400,.364,,.516,.805,,.062,359,,.260
San Antonio Spurs,72,17480,.462,13.3,,.686,.240,.199,.142,.105,.314,,.514,.658,.435,.433,.444,.350,,.492,.877,,.035,204,,.281
Toronto Raptors,72,17305,.448,14.9,,.556,.236,.194,.065,.061,.444,,.512,.662,.407,.409,.375,.368,,.483,.822,,.051,280,,.286
Utah Jazz,72,17355,.468,15.5,,.512,.207,.201,.069,.035,.488,,.544,.703,.443,.448,.372,.389,,.444,.763,,.058,325,,.225
Washington Wizards,72,17405,.475,13.6,,.681,.199,.268,.101,.114,.319,,.533,.695,.515,.408,.402,.351,,.501,.880,,.055,320,,.299
